Generation,PopBest,PopAvg,BestOverall
0,250550,5,-710739,250550,5
1,-149327,1,-718243,4,250550,5
2,550590,5,-690755,550590,5
3,300553,6,-781980,8,550590,5
4,500550,4,-715689,2,550590,5
5,50615,16,-686974,9,550590,5
6,-149308,2,-784471,6,550590,5
7,-199540,3,-754525,9,550590,5
8,-199434,8,-805741,1,550590,5
9,550689,9,-719533,1,550689,9
10,50695,34,-759459,6,550689,9
11,550547,9,-752010,550689,9
12,50470,16,-733269,6,550689,9
13,50687,44,-706984,8,550689,9
14,50662,03,-672016,9,550689,9

