Generation,PopBest,PopAvg,BestOverall
0,50520,44,-713246,6,50520,44
1,500667,8,-621953,9,500667,8
2,750545,8,-611944,6,750545,8
3,300637,7,-580647,9,750545,8
4,50593,78,-580641,6,750545,8
5,550590,6,-605676,6,750545,8
6,100500,6,-613209,8,750545,8
7,550677,-690652,4,750545,8
8,250634,3,-615662,5,750545,8
9,300657,7,-586903,2,750545,8
10,750656,6,-585651,6,750656,6
11,250617,7,-521925,3,750656,6
12,600527,9,-523137,7,750656,6
13,1050638,-519399,2,1050638
14,850657,5,-585634,9,1050638
15,300607,6,-573166,6,1050638
16,500648,1,-398133,7,1050638
17,500523,7,-558137,8,1050638
18,750557,6,-569382,9,1050638
19,500511,1,-545641,1,1050638
20,1000608,-525659,4,1050638
21,50627,69,-701892,6,1050638
22,750657,8,-521911,1,1050638
23,350696,4,-601895,6,1050638
24,1050668,-581883,3,1050668
25,1100628,-394404,9,1100628
26,100668,1,-620641,3,1100628
27,550636,9,-531904,9,1100628
28,350663,8,-429399,3,1100628
29,750598,3,-464406,3,1100628

