Generation,PopBest,PopAvg,BestOverall
0,1250608,-658230,6,1250608
1,550319,3,-551931,8,1250608
2,250627,9,-668218,4,1250608
3,300681,1,-474450,5,1250608
4,500657,5,-536909,9,1250608
5,750605,9,-536902,2,1250608
6,1250548,-466904,1,1250608
7,1000618,-496898,9,1250608
8,1000658,-379398,7,1250608
9,1000668,-433148,3,1250608
10,300638,-436899,2,1250608
11,1000618,-463148,7,1250608
12,1000658,-414398,5,1250608
13,750667,8,-461898,3,1250608
14,1250608,-454398,7,1250608
15,1000628,-334398,6,1250608
16,550617,8,-399398,6,1250608
17,1250628,-451898,2,1250628
18,1000627,-429398,6,1250628
19,1000648,-385648,6,1250628
20,550618,1,-466898,6,1250628
21,750627,8,-524398,4,1250628
22,550668,1,-463148,6,1250628
23,1000648,-579399,1,1250628
24,750596,9,-369398,7,1250628
25,1000668,-395648,8,1250628
26,550502,7,-460648,4,1250628
27,300697,3,-396898,3,1250628
28,550608,1,-431898,7,1250628
29,1000608,-423148,2,1250628

