Generation,PopBest,PopAvg,BestOverall
0,300449,8,-709494,4,300449,8
1,50577,06,-636979,4,300449,8
2,500506,1,-550641,6,500506,1
3,500636,9,-466886,8,500636,9
4,1000658,-411886,1,1000658
5,750608,1,-473135,4,1000658
6,550648,1,-463135,2,1000658
7,1000618,-318133,8,1000658
8,500608,1,-493131,4,1000658
9,500527,6,-404383,8,1000658
10,500615,8,-549383,9,1000658
11,550567,8,-401885,7,1000658
12,550657,4,-506881,7,1000658
13,750618,1,-480631,3,1000658
14,550637,9,-489383,9,1000658
15,250673,5,-464382,9,1000658
16,1250608,-408133,3,1250608
17,750598,-468134,7,1250608
18,550687,8,-599385,9,1250608
19,1000668,-539382,3,1250608
20,500658,1,-511883,7,1250608
21,300656,4,-439386,5,1250608
22,550628,1,-419381,9,1250608
23,550648,1,-518131,7,1250608
24,1000668,-470635,1,1250608
25,1000608,-375636,1,1250608
26,300687,7,-534382,6,1250608
27,1050698,-478132,9,1250608
28,600648,-399383,1,1250608
29,300637,9,-533133,8,1250608

