Generation,PopBest,PopAvg,BestOverall
0,250530,8,-708269,4,250530,8
1,550648,1,-571928,6,550648,1
2,540,5782,-528157,4,550648,1
3,750657,9,-615650,8,750657,9
4,1000638,-475649,4,1000638
5,500516,2,-498148,8,1000638
6,750658,1,-353149,3,1000638
7,1000648,-384398,2,1000648
8,1000668,-364399,1,1000668
9,550527,8,-444399,3,1000668
10,750638,1,-481898,6,1000668
11,750608,1,-519399,1,1000668
12,750646,3,-465648,7,1000668
13,550684,1,-389398,5,1000668
14,550638,1,-349398,8,1000668
15,100608,1,-426898,6,1000668
16,550608,1,-419399,4,1000668
17,300575,8,-479398,4,1000668
18,750668,-346898,6,1000668
19,750607,1,-441898,8,1000668
20,550667,6,-509398,7,1000668
21,1000698,-433148,4,1000698
22,300575,1,-416899,2,1000698
23,550667,9,-444398,9,1000698
24,1050628,-434398,9,1050628
25,750627,6,-421898,8,1050628
26,550657,5,-426898,3,1050628
27,550628,1,-515649,1,1050628
28,550608,1,-450648,6,1050628
29,300687,8,-415648,8,1050628

