Generation,PopBest,PopAvg,BestOverall
0,300560,9,-693236,6,300560,9
1,850547,6,-674437,7,850547,6
2,1000672,-519393,8,1000672
3,500617,6,-564395,1,1000672
4,500636,7,-576889,4,1000672
5,300506,2,-665651,8,1000672
6,300565,6,-626902,9,1000672
7,1000608,-614389,8,1000672
8,300671,6,-675657,2,1000672
9,250598,1,-640648,1,1000672
10,300646,6,-605663,1,1000672
11,300627,7,-654404,4,1000672
12,300695,8,-615700,1,1000672
13,750608,-575679,3,1000672
14,1250658,-475644,1250658
15,500618,-546911,1,1250658
16,1000608,-515647,2,1250658
17,1000618,-553152,9,1250658
18,50677,34,-628151,6,1250658
19,300522,9,-636904,9,1250658
20,550617,-674399,6,1250658
21,750677,9,-588158,2,1250658
22,500686,5,-568170,7,1250658
23,1300598,-579400,1,1300598
24,750576,6,-551912,2,1300598
25,1250666,-659422,4,1300598
26,800676,3,-628192,5,1300598
27,350577,8,-566893,5,1300598
28,750686,1,-611914,9,1300598
29,750666,6,-484434,7,1300598

