Generation,PopBest,PopAvg,BestOverall
0,250510,5,-783255,4,250510,5
1,1000538,-635722,4,1000538
2,550370,6,-615662,3,1000538
3,300645,6,-586921,2,1000538
4,750537,9,-559413,7,1000538
5,550614,6,-611922,5,1000538
6,522,931,-748151,1000538
7,750381,4,-678186,6,1000538
8,100597,6,-678192,1,1000538
9,500667,7,-593139,6,1000538
10,750580,6,-596890,4,1000538
11,50591,13,-691895,1,1000538
12,300660,6,-656894,9,1000538
13,300530,6,-669386,4,1000538
14,300640,6,-628170,1,1000538
15,300570,6,-594395,3,1000538
16,-149319,4,-781920,4,1000538
17,300526,5,-831894,1000538
18,100601,4,-585646,7,1000538
19,300598,1,-611898,4,1000538
20,1000608,-465639,1,1000608
21,300676,5,-611908,6,1000608
22,750657,4,-558168,1,1000608
23,300606,8,-644418,6,1000608
24,550608,1,-550639,6,1000608
25,550517,2,-494400,6,1000608
26,550686,4,-635696,9,1000608
27,50685,22,-604413,4,1000608
28,300657,9,-640672,9,1000608
29,550618,1,-541896,6,1000608

