Generation,PopBest,PopAvg,BestOverall
0,300690,5,-682002,1,300690,5
1,50621,25,-698165,2,300690,5
2,300595,6,-719412,8,300690,5
3,600677,5,-684416,6,600677,5
4,1000618,-619400,3,1000618
5,550630,6,-516885,6,1000618
6,750618,1,-570636,1,1000618
7,300607,8,-585637,5,1000618
8,300574,8,-654387,7,1000618
9,100310,5,-630681,1,1000618
10,300667,3,-631924,8,1000618
11,500691,3,-521904,8,1000618
12,750658,1,-598161,4,1000618
13,300647,5,-445640,9,1000618
14,750537,9,-576897,4,1000618
15,500565,-433146,2,1000618
16,100608,1,-653153,6,1000618
17,300607,3,-529393,6,1000618
18,750627,4,-518153,9,1000618
19,250606,5,-605642,1,1000618
20,1000668,-491892,6,1000668
21,550630,8,-436889,8,1000668
22,750667,9,-514383,7,1000668
23,100656,8,-738161,9,1000668
24,550570,9,-711921,2,1000668
25,1250618,-549401,6,1250618
26,550549,8,-623153,6,1250618
27,300694,4,-631908,6,1250618
28,300527,9,-643172,1,1250618
29,1000648,-539404,5,1250618

