Generation,PopBest,PopAvg,BestOverall
0,300657,-655746,6,300657
1,-149610,-783246,300657
2,750510,4,-620702,750510,4
3,-149323,6,-677012,6,750510,4
4,-449660,2,-777022,750510,4
5,50660,53,-733208,1,750510,4
6,300601,4,-778201,9,750510,4
7,300664,3,-704451,7,750510,4
8,750693,1,-619481,8,750693,1
9,300319,1,-732042,7,750693,1
10,569,9163,-763303,9,750693,1
11,50386,22,-722057,4,750693,1
12,300311,4,-808312,1,750693,1
13,50510,09,-750769,6,750693,1
14,1000621,-636986,8,1000621

