Generation,PopBest,PopAvg,BestOverall
0,100429,8,-799501,100429,8
1,300419,6,-789470,1,300419,6
2,300550,2,-708266,2,300550,2
3,580,8936,-718259,9,300550,2
4,300496,9,-707002,3,300550,2
5,100375,9,-718260,2,300550,2
6,100626,4,-731965,3,300550,2
7,550547,9,-678264,3,550547,9
8,100586,8,-709485,6,550547,9
9,300307,6,-732011,4,550547,9
10,300675,-740712,550547,9
11,250660,6,-679484,1,550547,9
12,-149490,3,-821958,4,550547,9
13,-399433,1,-766989,4,550547,9
14,300641,4,-656987,3,550547,9

