Generation,PopBest,PopAvg,BestOverall
0,250628,1,-753265,6,250628,1
1,250677,9,-626915,1,250677,9
2,550587,-681901,5,550587
3,1000608,-558135,4,1000608
4,300646,8,-609397,1,1000608
5,550687,1,-620687,3,1000608
6,500666,7,-594424,8,1000608
7,600568,-621912,8,1000608
8,500550,1,-641891,1,1000608
9,850697,9,-621905,4,1000608
10,250669,7,-610667,8,1000608
11,1050585,-564427,4,1050585
12,500679,6,-636918,4,1050585
13,350647,8,-530689,1,1050585
14,350687,3,-530640,7,1050585
15,500625,6,-616891,6,1050585
16,300637,4,-616912,4,1050585
17,550605,9,-485665,1050585
18,1000645,-573160,4,1050585
19,550697,6,-515644,8,1050585
20,750592,1,-606929,1,1050585
21,300677,7,-615693,4,1050585
22,850627,5,-424434,5,1050585
23,1300697,-321904,9,1300697
24,1000608,-479395,4,1300697
25,1000638,-514406,9,1300697
26,300517,6,-660674,9,1300697
27,550697,7,-563154,1,1300697
28,300697,4,-560652,1,1300697
29,3300578,-378155,3300578

