Generation,PopBest,PopAvg,BestOverall
0,850508,-759500,8,850508
1,50526,97,-721999,4,850508
2,300479,8,-748238,8,850508
3,500647,6,-761971,9,850508
4,300550,6,-694448,8,850508
5,550636,4,-649451,5,850508
6,550547,3,-595738,1,850508
7,100510,5,-753272,5,850508
8,300607,9,-639448,3,850508
9,250670,6,-755749,6,850508
10,50524,53,-720800,9,850508
11,50689,72,-715711,3,850508
12,750546,2,-667038,9,850508
13,-149580,1,-745775,4,850508
14,50667,44,-722021,9,850508
15,300660,6,-777016,3,850508
16,50690,47,-673254,9,850508
17,100459,8,-676991,6,850508
18,300630,7,-708228,3,850508
19,300637,8,-684457,8,850508
20,100672,4,-810735,9,850508
21,500592,8,-726963,9,850508
22,300546,2,-695722,4,850508
23,50529,84,-746960,850508
24,-399347,-828288,3,850508
25,598,0988,-686946,4,850508
26,250450,7,-730779,8,850508
27,300656,6,-719491,8,850508
28,550597,7,-658246,850508
29,100577,3,-715729,8,850508

