Generation,PopBest,PopAvg,BestOverall
0,550618,1,-645765,2,550618,1
1,300647,1,-676964,6,550618,1
2,100520,6,-721943,4,550618,1
3,300587,9,-694426,9,550618,1
4,550565,4,-658173,3,550618,1
5,300505,9,-575675,9,550618,1
6,1250658,-659444,8,1250658
7,250567,5,-589438,6,1250658
8,300597,4,-608191,9,1250658
9,100547,9,-564436,7,1250658
10,750660,9,-618164,9,1250658
11,500668,1,-556924,1,1250658
12,100587,7,-573172,3,1250658
13,550637,9,-610658,3,1250658
14,550677,9,-608178,6,1250658
15,250670,2,-659469,6,1250658
16,300546,2,-674446,7,1250658
17,50658,13,-573184,7,1250658
18,1000648,-518168,3,1250658
19,50566,19,-681955,5,1250658
20,300580,6,-568182,9,1250658
21,300590,6,-664443,6,1250658
22,1000621,-585662,3,1250658
23,-149309,3,-700701,1250658
24,750659,9,-655692,3,1250658
25,507,5724,-693224,2,1250658
26,-199391,9,-743167,1,1250658
27,300628,1,-626924,4,1250658
28,1250538,-640689,4,1250658
29,550697,9,-629440,6,1250658

