Generation,PopBest,PopAvg,BestOverall
0,550530,6,-745735,5,550530,6
1,300500,6,-713220,1,550530,6
2,550689,8,-683205,9,550689,8
3,1000631,-764470,6,1000631
4,100638,1,-609423,9,1000631
5,500621,1,-613182,5,1000631
6,500570,-705666,3,1000631
7,500500,4,-746926,6,1000631
8,100570,6,-730706,3,1000631
9,750559,8,-719450,1,1000631
10,300676,8,-659416,7,1000631
11,250640,1,-700718,8,1000631
12,750696,4,-651976,6,1000631
13,-149392,1,-770727,9,1000631
14,750577,9,-689445,7,1000631
15,500442,5,-641964,1,1000631
16,500696,6,-660720,6,1000631
17,50650,25,-624472,6,1000631
18,300499,8,-628219,9,1000631
19,300599,8,-690731,8,1000631
20,500689,8,-790701,1,1000631
21,-399313,9,-789506,3,1000631
22,300680,-733253,9,1000631
23,500535,6,-684485,4,1000631
24,660,0498,-740734,4,1000631
25,-349650,2,-778243,9,1000631
26,-149350,6,-710770,2,1000631
27,541,3477,-746965,1000631
28,750680,3,-711949,9,1000631
29,750689,8,-730730,6,1000631

