Generation,PopBest,PopAvg,BestOverall
0,620,3621,-741991,620,3621
1,-399522,3,-753246,2,620,3621
2,-149670,6,-730771,9,620,3621
3,250620,5,-645743,1,250620,5
4,300654,4,-640656,1,300654,4
5,50680,47,-658153,4,300654,4
6,500591,7,-578141,9,500591,7
7,300620,5,-644400,9,500591,7
8,750690,3,-605642,5,750690,3
9,300620,3,-504421,8,750690,3
10,300660,3,-745653,3,750690,3
11,250641,9,-618171,6,750690,3
12,250680,5,-656909,8,750690,3
13,300690,5,-563177,6,750690,3
14,50587,25,-624409,3,750690,3
15,300636,7,-570658,7,750690,3
16,550650,6,-493143,6,750690,3
17,250640,9,-683151,8,750690,3
18,50642,94,-723157,1,750690,3
19,550638,1,-620645,8,750690,3
20,50642,69,-603149,9,750690,3
21,500672,8,-633153,7,750690,3
22,550514,6,-424392,7,750690,3
23,550648,1,-561892,5,750690,3
24,300687,2,-535678,1,750690,3
25,550638,1,-599419,4,750690,3
26,550597,4,-479393,8,750690,3
27,300637,5,-541888,750690,3
28,300657,-561882,3,750690,3
29,1250538,-546890,9,1250538

