Generation,PopBest,PopAvg,BestOverall
0,-399662,1,-801990,4,-399662,1
1,1000608,-595694,6,1000608
2,50667,34,-563205,6,1000608
3,300687,6,-534389,2,1000608
4,750668,1,-565636,6,1000608
5,1250618,-409390,1,1250618
6,1000608,-379384,1250618
7,500615,6,-601882,4,1250618
8,550607,9,-540632,5,1250618
9,1000538,-476886,2,1250618
10,300598,1,-524382,8,1250618
11,750657,6,-416894,9,1250618
12,50647,31,-569383,6,1250618
13,500653,1,-450655,8,1250618
14,550691,6,-534385,9,1250618
15,550567,4,-656912,4,1250618
16,50618,13,-709411,3,1250618
17,500608,-499387,1,1250618
18,550608,1,-589383,3,1250618
19,1000628,-503145,9,1250618
20,300658,1,-534382,9,1250618
21,1000608,-429386,5,1250618
22,500617,9,-469399,8,1250618
23,550608,1,-481889,8,1250618
24,550598,1,-473132,5,1250618
25,750626,1,-373141,8,1250618
26,1250598,-478132,2,1250618
27,750527,8,-476891,8,1250618
28,1000628,-583135,2,1250618
29,550647,9,-491882,6,1250618

