Generation,PopBest,PopAvg,BestOverall
0,50612,59,-688236,5,50612,59
1,1250697,-678217,9,1250697
2,300677,6,-595706,6,1250697
3,500617,4,-528144,1,1250697
4,550668,1,-444389,1,1250697
5,550668,1,-496881,4,1250697
6,1000598,-435635,7,1250697
7,50616,78,-648134,2,1250697
8,550617,7,-498137,1250697
9,500537,9,-514384,8,1250697
10,250677,7,-528135,9,1250697
11,550657,5,-420632,7,1250697
12,550613,4,-483138,1,1250697
13,1250578,-434394,7,1250697
14,100618,1,-633154,9,1250697
15,550658,1,-545646,1,1250697
16,300638,-524393,2,1250697
17,300606,7,-513135,6,1250697
18,100657,1,-693142,4,1250697
19,300608,1,-654394,4,1250697
20,500606,3,-520652,8,1250697
21,100668,-548159,2,1250697
22,300658,1,-553141,3,1250697
23,550617,7,-576890,4,1250697
24,300617,4,-565649,4,1250697
25,500602,2,-641887,9,1250697
26,500530,7,-623157,6,1250697
27,800617,8,-668175,3,1250697
28,750532,8,-418145,1250697
29,550638,1,-491897,1250697

