Generation,PopBest,PopAvg,BestOverall
0,250622,3,-699509,9,250622,3
1,644,6857,-704443,6,250622,3
2,1000598,-554397,4,1000598
3,300638,1,-486906,8,1000598
4,750664,7,-590682,9,1000598
5,300566,1,-599412,1,1000598
6,250672,2,-554418,4,1000598
7,550647,9,-643146,1,1000598
8,50677,84,-678170,4,1000598
9,300527,9,-595668,9,1000598
10,800677,9,-455642,9,1000598
11,100697,9,-455639,3,1000598
12,1000618,-526897,3,1000618
13,1000667,-464399,3,1000667
14,1000678,-481884,9,1000678
15,300646,9,-556893,1,1000678
16,500606,3,-546890,6,1000678
17,550630,6,-490648,4,1000678
18,500668,1,-518134,9,1000678
19,300628,-696903,5,1000678
20,550668,1,-520635,3,1000678
21,300621,4,-530632,5,1000678
22,750590,6,-515643,1000678
23,100616,2,-638142,6,1000678
24,750597,8,-548146,4,1000678
25,1000618,-556885,6,1000678
26,550608,1,-490633,9,1000678
27,1250628,-508142,5,1250628
28,1000668,-430633,1250628
29,550668,1,-521885,9,1250628

