Generation,PopBest,PopAvg,BestOverall
0,550599,9,-765728,3,550599,9
1,1050637,-676957,4,1050637
2,50378,53,-690783,2,1050637
3,50408,97,-702023,9,1050637
4,570,1956,-742013,3,1050637
5,250689,8,-800763,6,1050637
6,300619,8,-611948,6,1050637
7,300649,7,-671931,4,1050637
8,-149460,4,-797036,4,1050637
9,50451,06,-778279,4,1050637
10,50606,53,-718298,7,1050637
11,50673,72,-743222,8,1050637
12,300637,8,-766941,9,1050637
13,300656,4,-651938,7,1050637
14,300600,6,-654442,6,1050637
15,300598,1,-701930,7,1050637
16,300580,6,-635717,9,1050637
17,100648,1,-696966,1,1050637
18,-149319,1,-682037,2,1050637
19,300618,1,-690716,7,1050637
20,-399401,9,-808224,9,1050637
21,250531,6,-656991,1050637
22,500580,2,-700759,1,1050637
23,-399379,4,-746970,9,1050637
24,50680,88,-778235,1,1050637
25,2150518,-575686,6,2150518
26,520,8235,-735702,9,2150518
27,601,4982,-724462,5,2150518
28,300627,4,-750721,9,2150518
29,300638,1,-565675,6,2150518

